Progress,Finished,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
Progress,Finished,,Have you worked or currently working in the Software Development or Information Technology industry in Bangladesh? - Selected Choice,Please provide your undergraduate University name,What is your gender?,What is your highest level of degree or education? - Selected Choice,Which year did you complete your undergraduate or bachelors degree?,How many years of industry experience do you have?,What is your current job description? - Selected Choice,Do you think the current curricula/syllabus for the undergraduate software engineering courses are s - Selected Choice,"Rate your undergraduate projects (course projects or final year project) for the following criteria: - Used standard software development tools (e.g., version control systems)","Rate your undergraduate projects (course projects or final year project) for the following criteria: - Used software development frameworks (e.g., Spring, Django etc.)",Rate your undergraduate projects (course projects or final year project) for the following criteria: - Used software development life cycles (SDLC),Rate your undergraduate projects (course projects or final year project) for the following criteria: - Performed requirements analysis,"Rate your undergraduate projects (course projects or final year project) for the following criteria: - Applied different software testings (e.g., unit testing etc.)",Rate your undergraduate projects (course projects or final year project) for the following criteria: - Used project management tools,Rate your undergraduate projects (course projects or final year project) for the following criteria: - Used bug tracking systems,Rate your undergraduate projects (course projects or final year project) for the following criteria: - Were similar to real-life projects,Rate your undergraduate projects (course projects or final year project) for the following criteria: - Were evaluated properly,Internship should be made mandatory as part of the curricula or degree requirement. - Selected Choice,How extensively did you participate in programming contests or solve ACM problems? - Selected Choice,Programming contests or solving ACM problems help build software development skills. - Selected Choice,What do you think about the people who participate in programming contests or solve ACM problems? - Selected Choice,"Undergraduate course projects should be given more time. That is, they should  span or continue multiple semesters or years. - Selected Choice",Software engineering course instructors should have industry experience. - Selected Choice,"Universities should teach communication and other ""soft"" skills. - Selected Choice","After your graduation, how much effort did you have to put to become effective (i.e., get up to speed) in your role at work? - Selected Choice",How helpful was your undergrad team projects experience for your current job? - Selected Choice,"After I joined the team, my company provided formal training (e.g., on-boarding, orientation etc.) on the code base, tools and/or processes. - Selected Choice","Based on your own experience, how much do you think the current undergraduate education prepares an individual for the software industry? - Selected Choice",Both male and female graduates receive equal opportunity at the time of recruitment. - Selected Choice,The workplace environment of the software/IT industry is more comfortable for a man than a woman. - Selected Choice
100,True,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Shahjalal University of Science and Technology,Male,Ph.D.,2014,2 to 5 years,Other (please specify),Strongly disagree - should be totally changed,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Solved a few,Somewhat agree,Hard to work with,Neither agree nor disagree,Strongly agree,Strongly agree,A moderate amount,Not helpful at all,Strongly disagree,A little,Other (I want to share my opinion),Somewhat agree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Masters, M.Sc., MS",2010,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,A lot,Strongly agree,Easy to work with,Somewhat disagree,Strongly agree,Strongly agree,A moderate amount,Very helpful,Strongly disagree,A moderate amount,Somewhat disagree,Somewhat agree
100,True,I agree,Yes,Southeast University,Male,"Bachelors, B.Sc., BS",2012,5 to 10 years,Software Developer/Engineer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,A lot,Strongly agree,Great team players,Somewhat agree,Neither agree nor disagree,Somewhat agree,A moderate amount,Not helpful at all,Strongly agree,A little,Somewhat agree,Neither agree nor disagree
100,True,I agree,Other,University of Dhaka (DU),Female,"Masters, M.Sc., MS",2007,More than 10 years,Software Developer/Engineer,Disagree - major changes are needed,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Did not participate or solve,Somewhat disagree,Hard to work with,Strongly disagree,Somewhat disagree,Somewhat disagree,None at all,Slightly helpful,Strongly agree,A little,Somewhat disagree,Somewhat agree
100,True,I agree,Yes,University of Dhaka (DU),Female,"Bachelors, B.Sc., BS",2018,Less than 2 years,Other (please specify),Agree - minor changes are needed,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Solved a few,Somewhat disagree,Easy to work with,Strongly agree,Strongly agree,Somewhat agree,A lot,Moderately helpful,Strongly agree,A moderate amount,Somewhat agree,Somewhat agree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2019,Less than 2 years,DevOps,Agree - minor changes are needed,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Solved a few,Somewhat agree,Easy to work with,Strongly agree,Somewhat agree,Strongly agree,A little,Moderately helpful,Somewhat agree,A little,Somewhat disagree,Neither agree nor disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Masters, M.Sc., MS",2016,2 to 5 years,QA / Test Engineer / Test Automation Engineer,Disagree - major changes are needed,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Solved a few,Strongly agree,I did not have such teammates,Strongly agree,Strongly agree,Somewhat agree,A moderate amount,Not helpful at all,Somewhat agree,A little,Neither agree nor disagree,Neither agree nor disagree
100,True,I agree,Yes,American International University-Bangladesh,Male,"Bachelors, B.Sc., BS",2013,5 to 10 years,QA / Test Engineer / Test Automation Engineer,Disagree - major changes are needed,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Solved a few,Somewhat agree,Hard to work with,Strongly disagree,Strongly agree,Strongly agree,A great deal,Not helpful at all,Somewhat agree,A little,Strongly agree,Strongly disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2017,Less than 2 years,Software Developer/Engineer,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Did not participate or solve,Neither agree nor disagree,I did not have such teammates,Strongly agree,Strongly agree,Strongly agree,A lot,Not helpful at all,Strongly disagree,A little,Strongly disagree,Somewhat agree
100,True,I agree,Yes,Please select ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2006,More than 10 years,Project Manager,Agree - minor changes are needed,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Did not participate or solve,Strongly agree,I did not have such teammates,Somewhat agree,Somewhat agree,Strongly agree,A moderate amount,Not helpful at all,Somewhat agree,A moderate amount,Strongly agree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,Ph.D.,2011,Less than 2 years,Software Developer/Engineer,Disagree - major changes are needed,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Did not participate or solve,Neither agree nor disagree,I did not have such teammates,Strongly agree,Strongly disagree,Somewhat agree,A moderate amount,Slightly helpful,Somewhat agree,A little,Somewhat agree,Strongly disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Chittagong University of Engineering & Technology,Male,"Bachelors, B.Sc., BS",2017,2 to 5 years,Software Developer/Engineer,Disagree - major changes are needed,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Solved a few,Strongly agree,Great team players,Somewhat agree,Strongly agree,Strongly agree,A lot,Not helpful at all,Strongly agree,A little,Strongly agree,Somewhat disagree
